test/success_rate,train/episode,train/success_rate,test/episode,stats_o/std,stats_g/std,epoch,stats_o/mean,test/mean_Q,stats_g/mean
1.0,15800.0,0.95,3160.0,0.10873107,0.07538587,157,0.20161398,-1.536567,0.8373864
1.0,15900.0,0.94,3180.0,0.10880661,0.075353764,158,0.2016006,-1.169266,0.83739585
1.0,16000.0,0.9450000000000001,3200.0,0.108918294,0.07533926,159,0.20160848,-1.8300867,0.8373933
1.0,16100.0,0.92,3220.0,0.10902466,0.07538971,160,0.20160094,-1.1882262,0.8374042
1.0,16200.0,0.925,3240.0,0.10914091,0.07534758,161,0.20161858,-1.2513578,0.837405
1.0,16300.0,0.955,3260.0,0.109212205,0.07528179,162,0.20161113,-1.0267966,0.837419
1.0,16400.0,0.925,3280.0,0.109248094,0.0752682,163,0.2016101,-1.0349865,0.8374347
1.0,16500.0,0.94,3300.0,0.10934739,0.07525473,164,0.20160832,-0.9194174,0.8374292
1.0,16600.0,0.96,3320.0,0.1094465,0.075193845,165,0.20161313,-1.1185489,0.83745974
1.0,16700.0,0.935,3340.0,0.10945696,0.075175494,166,0.20162565,-1.1042972,0.8374629
1.0,16800.0,0.96,3360.0,0.10961147,0.07515026,167,0.20160979,-1.3180995,0.8374572
1.0,16900.0,0.935,3380.0,0.1097018,0.075154975,168,0.20160915,-1.0822867,0.83744305
1.0,17000.0,0.955,3400.0,0.109850265,0.07514143,169,0.20158644,-1.2795571,0.8374185
0.95,17100.0,0.965,3420.0,0.10992529,0.07508294,170,0.20161091,-1.1310205,0.83740956
1.0,17200.0,0.98,3440.0,0.10993607,0.07502746,171,0.20160459,-1.5680419,0.8374233
1.0,17300.0,0.935,3460.0,0.10999707,0.07498735,172,0.2016012,-1.1668724,0.8374076
1.0,17400.0,0.96,3480.0,0.10999679,0.07491978,173,0.20159383,-1.1143671,0.8374037
0.95,17500.0,0.955,3500.0,0.11003723,0.07490081,174,0.20158038,-1.0665634,0.8373976
1.0,17600.0,0.95,3520.0,0.11004632,0.07484951,175,0.20157854,-1.2075481,0.837408
1.0,17700.0,0.9550000000000001,3540.0,0.11013116,0.07479145,176,0.20158693,-1.1827743,0.837399
1.0,17800.0,0.95,3560.0,0.11020865,0.07478099,177,0.20157503,-0.96934557,0.83741164
1.0,17900.0,0.945,3580.0,0.11029353,0.0747201,178,0.2015839,-1.2250562,0.8374159
0.95,18000.0,0.945,3600.0,0.110333204,0.074669294,179,0.20158377,-1.0232232,0.8373873
1.0,18100.0,0.98,3620.0,0.11043536,0.07460346,180,0.20158102,-1.1209327,0.83741957
1.0,18200.0,0.94,3640.0,0.11052327,0.07457371,181,0.20156118,-1.2359829,0.8374074
1.0,18300.0,0.9299999999999999,3660.0,0.1105499,0.07452078,182,0.20154974,-1.0321645,0.8374262
1.0,18400.0,0.945,3680.0,0.110643245,0.07452088,183,0.20155942,-1.5253413,0.837426
1.0,18500.0,0.96,3700.0,0.11062986,0.07446779,184,0.20154601,-0.971532,0.83742577
1.0,18600.0,0.94,3720.0,0.11063004,0.07442874,185,0.2015535,-1.2231903,0.8374364
1.0,18700.0,0.945,3740.0,0.11067161,0.07441913,186,0.20156126,-1.5331066,0.8374367
1.0,18800.0,0.96,3760.0,0.11069909,0.07438169,187,0.20154348,-0.9834316,0.837455
1.0,18900.0,0.98,3780.0,0.1107975,0.07436934,188,0.20156309,-1.0934777,0.83747107
1.0,19000.0,0.935,3800.0,0.11080286,0.074341595,189,0.20158239,-0.97120166,0.8374854
1.0,19100.0,0.96,3820.0,0.11089461,0.07430477,190,0.20158611,-1.0618708,0.8374911
1.0,19200.0,0.935,3840.0,0.110960305,0.07432977,191,0.20156631,-1.2132632,0.83744985
1.0,19300.0,0.935,3860.0,0.11099954,0.074302144,192,0.20154046,-1.1638346,0.8374408
0.95,19400.0,0.9450000000000001,3880.0,0.111032784,0.07426718,193,0.20156202,-0.96294135,0.83745366
1.0,19500.0,0.945,3900.0,0.111093245,0.07425315,194,0.20156531,-1.2427838,0.8374471
1.0,19600.0,0.94,3920.0,0.11121385,0.07422439,195,0.20157081,-1.3105232,0.83746076
1.0,19700.0,0.97,3940.0,0.111226946,0.07419055,196,0.20158815,-1.1446636,0.8374803
1.0,19800.0,0.97,3960.0,0.11125813,0.07413476,197,0.20158543,-1.1934763,0.83748204
1.0,19900.0,0.915,3980.0,0.11132669,0.074121766,198,0.2016128,-1.0328009,0.83749413
1.0,20000.0,0.97,4000.0,0.11138437,0.07409798,199,0.20162758,-1.1122929,0.837513
