epoch,stats_o/std,stats_o/mean,test/episode,stats_g/std,test/success_rate,train/success_rate,stats_g/mean,test/mean_Q,train/episode
216,0.10146055,0.18179715,4340.0,0.18677801,0.45,0.1,0.7929511,-10.470401,4340.0
217,0.10145021,0.18184558,4360.0,0.18663758,0.45,0.1,0.79310197,-14.81833,4360.0
218,0.1013779,0.18188553,4380.0,0.18643081,0.35,0.225,0.7932808,-14.963041,4380.0
219,0.10132211,0.18193352,4400.0,0.18630163,0.5,0.075,0.79340667,-13.58206,4400.0
220,0.101267606,0.18196563,4420.0,0.18620443,0.4,0.2,0.7935756,-14.455887,4420.0
221,0.10130542,0.18200746,4440.0,0.18612532,0.5,0.1,0.7936414,-13.3106575,4440.0
222,0.101286076,0.1820415,4460.0,0.18611349,0.4,0.15000000000000002,0.793752,-12.199907,4460.0
223,0.101291865,0.18208659,4480.0,0.18593603,0.45,0.3,0.7939729,-12.57692,4480.0
224,0.101276465,0.18210495,4500.0,0.1857934,0.45,0.175,0.7941411,-13.554981,4500.0
225,0.10131427,0.18213648,4520.0,0.1857767,0.475,0.07500000000000001,0.7943581,-13.89317,4520.0
226,0.10132241,0.1821678,4540.0,0.18580443,0.4,0.15000000000000002,0.79447573,-14.635105,4540.0
227,0.101296626,0.18220416,4560.0,0.18578877,0.3,0.15000000000000002,0.7945983,-14.36333,4560.0
228,0.1013544,0.18223986,4580.0,0.18572854,0.575,0.125,0.79478604,-13.678813,4580.0
229,0.10130086,0.18228032,4600.0,0.18560515,0.55,0.15,0.79488826,-11.931002,4600.0
230,0.10131244,0.18230303,4620.0,0.18556984,0.425,0.07500000000000001,0.79502374,-14.705265,4620.0
231,0.10133555,0.18233345,4640.0,0.18550998,0.3,0.07500000000000001,0.79520345,-17.010185,4640.0
232,0.10131793,0.18235062,4660.0,0.1854604,0.5,0.175,0.79523176,-12.5409355,4660.0
233,0.101327375,0.18237282,4680.0,0.18545246,0.375,0.175,0.7952566,-12.37083,4680.0
234,0.1014316,0.18238376,4700.0,0.18540819,0.33,0.175,0.7954025,-16.339735,4700.0
235,0.10140675,0.18241118,4720.0,0.18538742,0.25,0.175,0.79545474,-12.6044035,4720.0
236,0.10138682,0.18241462,4740.0,0.18534,0.3,0.15000000000000002,0.7955601,-13.824629,4740.0
237,0.10145194,0.1824186,4760.0,0.18525906,0.25,0.15000000000000002,0.7956238,-14.289663,4760.0
238,0.1014124,0.18243226,4780.0,0.18510783,0.55,0.125,0.7956846,-14.887386,4780.0
239,0.10136434,0.18247835,4800.0,0.18504049,0.4,0.15000000000000002,0.7957809,-14.55064,4800.0
240,0.10140586,0.18250461,4820.0,0.1850745,0.4,0.1,0.7960177,-13.331768,4820.0
241,0.1013729,0.18252563,4840.0,0.18507643,0.55,0.25,0.7961466,-15.180206,4840.0
242,0.101398855,0.1825554,4860.0,0.18499017,0.55,0.225,0.796354,-12.818396,4860.0
243,0.101390526,0.18259239,4880.0,0.18492346,0.3,0.1,0.79654735,-13.951502,4880.0
244,0.10145714,0.18260111,4900.0,0.18495782,0.2,0.2,0.79661244,-18.218908,4900.0
245,0.10157272,0.18264103,4920.0,0.18495898,0.4,0.125,0.7968636,-14.423355,4920.0
246,0.10155036,0.18267216,4940.0,0.18487309,0.55,0.15000000000000002,0.79701537,-13.228571,4940.0
247,0.101523854,0.18268351,4960.0,0.18476312,0.425,0.175,0.79716605,-15.877556,4960.0
248,0.10169288,0.1827159,4980.0,0.18497123,0.5,0.1,0.79725415,-13.259165,4980.0
249,0.10169575,0.18274884,5000.0,0.1848674,0.32499999999999996,0.2,0.7973769,-14.203099,5000.0
250,0.10167057,0.18277122,5020.0,0.18469469,0.4,0.175,0.797584,-15.319254,5020.0
251,0.101780616,0.18279476,5040.0,0.18467306,0.3,0.125,0.7977121,-12.688251,5040.0
252,0.10178018,0.18281561,5060.0,0.18460004,0.32499999999999996,0.19999999999999998,0.797805,-14.339465,5060.0
253,0.10187469,0.18284649,5080.0,0.18465237,0.675,0.25,0.7978332,-12.367758,5080.0
